model:HSVNet step: 9800, loss: 0.097208, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:69.31
model:HSVNet step: 9850, loss: 0.099596, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:69.59
model:HSVNet step: 9900, loss: 0.086614, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:69.88
model:HSVNet step: 9950, loss: 0.133941, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:70.17
model:HSVNet step: 10000, loss: 0.112831, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:70.46
model:HSVNet step: 10050, loss: 0.110770, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:70.74
model:HSVNet step: 10100, loss: 0.079620, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:71.03
model:HSVNet step: 10150, loss: 0.093264, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:71.32
model:HSVNet step: 10200, loss: 0.088349, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:71.60
model:HSVNet step: 10250, loss: 0.078836, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:71.89
model:HSVNet step: 10300, loss: 0.077826, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:72.18
model:HSVNet step: 10350, loss: 0.147742, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:72.46
model:HSVNet step: 10400, loss: 0.088381, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:72.75
model:HSVNet step: 10450, loss: 0.153713, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:73.04
model:HSVNet step: 10500, loss: 0.122548, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:73.33
model:HSVNet step: 10550, loss: 0.121926, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:75.69
model:HSVNet step: 10600, loss: 0.145622, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:75.98
model:HSVNet step: 10650, loss: 0.118952, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:76.27
model:HSVNet step: 10700, loss: 0.092685, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:76.56
model:HSVNet step: 10750, loss: 0.089401, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:76.85
model:HSVNet step: 10800, loss: 0.122236, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:77.13
model:HSVNet step: 10850, loss: 0.143526, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:77.42
model:HSVNet step: 10900, loss: 0.094691, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:77.71
model:HSVNet step: 10950, loss: 0.102966, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:77.99
model:HSVNet step: 11000, loss: 0.109776, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:78.28
model:HSVNet step: 11050, loss: 0.143291, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:78.57
model:HSVNet step: 11100, loss: 0.079439, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:78.85
model:HSVNet step: 11150, loss: 0.063595, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:79.15
model:HSVNet step: 11200, loss: 0.164325, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:79.44
model:HSVNet step: 11250, loss: 0.139399, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:79.73
model:HSVNet step: 11300, loss: 0.139068, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:80.03
model:HSVNet step: 11350, loss: 0.121744, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:80.32
model:HSVNet step: 11400, loss: 0.106740, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:80.61
model:HSVNet step: 11450, loss: 0.168462, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:80.89
model:HSVNet step: 11500, loss: 0.153778, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:81.18
model:HSVNet step: 11550, loss: 0.105861, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:81.47
model:HSVNet step: 11600, loss: 0.162129, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:81.76
model:HSVNet step: 11650, loss: 0.089592, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:82.04
model:HSVNet step: 11700, loss: 0.108572, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:82.33
model:HSVNet step: 11750, loss: 0.126567, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:82.62
