model:HSVNet step: 50, loss: 0.088175, psnr: 0, ssim: 0, minute:0.26
model:HSVNet step: 8000, loss: 0.087611, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.56
model:HSVNet step: 8050, loss: 0.106692, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.63
model:HSVNet step: 8100, loss: 0.105722, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.70
model:HSVNet step: 8150, loss: 0.085301, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.77
model:HSVNet step: 8200, loss: 0.088852, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.83
model:HSVNet step: 8250, loss: 0.100773, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.91
model:HSVNet step: 8300, loss: 0.079210, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.98
model:HSVNet step: 8350, loss: 0.093109, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.04
model:HSVNet step: 8400, loss: 0.082165, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.11
model:HSVNet step: 8450, loss: 0.136466, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.19
model:HSVNet step: 8500, loss: 0.055388, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.25
model:HSVNet step: 8550, loss: 0.070563, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.32
model:HSVNet step: 8600, loss: 0.096478, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.39
model:HSVNet step: 8650, loss: 0.084204, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.46
model:HSVNet step: 8700, loss: 0.063210, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.53
model:HSVNet step: 8750, loss: 0.072513, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.60
model:HSVNet step: 8800, loss: 0.084084, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.67
model:HSVNet step: 8850, loss: 0.069150, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.74
model:HSVNet step: 8900, loss: 0.074193, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.81
model:HSVNet step: 8950, loss: 0.066093, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.88
model:HSVNet step: 9000, loss: 0.067284, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:21.95
model:HSVNet step: 9050, loss: 0.054989, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.02
model:HSVNet step: 9100, loss: 0.106853, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.09
model:HSVNet step: 9150, loss: 0.089754, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.16
model:HSVNet step: 9200, loss: 0.096102, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.22
model:HSVNet step: 9250, loss: 0.074055, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.30
model:HSVNet step: 9300, loss: 0.067541, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.37
model:HSVNet step: 9350, loss: 0.064022, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.44
model:HSVNet step: 9400, loss: 0.059935, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.50
model:HSVNet step: 9450, loss: 0.093207, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.58
model:HSVNet step: 9500, loss: 0.065593, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.65
model:HSVNet step: 9550, loss: 0.089456, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.72
model:HSVNet step: 9600, loss: 0.085508, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.78
model:HSVNet step: 9650, loss: 0.055535, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.86
model:HSVNet step: 9700, loss: 0.073937, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.93
model:HSVNet step: 9750, loss: 0.075188, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:22.99
model:HSVNet step: 9800, loss: 0.075344, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:23.06
model:HSVNet step: 9850, loss: 0.090453, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:23.14
